ItemID,ProductID,ProductName,BriefDescription,Price,WholesalePrice,ListPrice,UnitsInStock,UnitsSold,ImageURL,Category,Details,Thumbnail,FormFields,IsFeatured,ShippingCosts,Weight,TimesViewed,SupplierID,ChargeTaxes,ChargeShipping,ShowQuantity,CanBackOrder,egoodfilename,listoptions,showprice,showwsprice,showlistprice,showvoldiscounts,showimage,showaddtocartbutton,showtitle,issubscription,Permissions,NeverExpires,ExpireSelect,SimilarItems,DateAdded,ShipsAlone,sku,brand,subof,status,isgift,Expireson,rating,availability,reviews,mfg,upc,ImportKey,fordervalue,casepack,oneclickordering,,,
538031,08-184,$100 in Fuel,"Proven gasoline redemption program. Available in $100, $250, $300, and $500 increments.",0,,,999,0,$100CYG.JPG,|0|,"<h3 style=text-align: center""><span style=""font-size: large""><span style=""font-family: Times New Roman"">Proven gasoline redemption program.</span></span></h3>""",$100CYG.JPG,NULL,No,0,1,362,0,Yes,Yes,Yes,Yes,None,Yes,No,No,No,Yes,Yes,Yes,Yes,no,NULL,NULL,NULL,NULL,1/29/2009,NULL,08-184,,,active,No,NULL,NULL,,NULL,,NULL,NULL,538031,NULL,No,,,
538032,08-207,$100 in Retail Merchandise,"Proven merchandise redemption program. Available in $100, $250, $300, and $500 increments.",0,,,999,0,$100 CYM.JPG,^936^,"<p style=text-align: center""><span style=""font-size: large""><span style=""font-family: Times New Roman"">Proven merchandise redemption program. Available in $100",$250 ,$300 ," and $500 increments.</span></span></p>""",$100 CYM.JPG,NULL,No,0,1,334,0,Yes,Yes,Yes,Yes,None,Yes,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/29/2009,NULL,08-207,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538032,NULL,No
538033,08-197,$500 in Food,"Proven grocery redemption procees. Available in $100, $250, $300, and $500 increments.",0,,,999,0,$100CYGro.JPG,^936^,"<p style=text-align: center""><span style=""font-size: large""><span style=""font-family: Times New Roman"">Proven grocery redemption procees. Available in $100",$300 ," and $500 increments.</span></span></p>""",$100CYGro.JPG,NULL,No,0,1,491,0,Yes,Yes,Yes,Yes,None,Yes,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/29/2009,NULL,08-197,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538033,NULL,No,
538034,Aug-98,The Racing Store,The Racing store carries genuinhe Nascar goods with no product costs. End user only pays Shipping and Handling on the items they order.,0,,,999,0,Racing Store.JPG,^938^,"<p style=text-align: center""><span style=""font-size: large""><span style=""font-family: Times New Roman"">The Racing store carries genuine Nascar goods with no product costs. End user only pays Shipping and Handling on the items they order.</span></span></p>""",Racing Store.JPG,NULL,No,0,1,148,0,Yes,Yes,Yes,Yes,None,Yes,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/29/2009,NULL,Aug-98,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538034,NULL,No,,,
538035,Aug-34,Passport to Paradise,Cruise Vacation Package for 2,0,,,999,0,passport2paradise.JPG,^937^,"<p style=text-align: center""><span style=""font-size: large""><span style=""font-family: Times New Roman"">Cruise Vacation Package for 2</span></span></p>""",nopic.jpg,NULL,No,0,1,129,0,Yes,Yes,Yes,Yes,None,Yes,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/29/2009,NULL,Aug-34,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538035,NULL,No,,,
538036,Aug-59,Tour America,Enjoy eight complimentary 3 day 2 night vacations.,0,,,999,0,TourAmerica.JPG,^937^,"<p style=text-align: center""><span style=""font-size: large""><span style=""font-family: Times New Roman"">Enjoy eight complimentary 3 day 2 night vacations.</span></span></p>""",TourAmerica.JPG,NULL,No,0,1,64,0,Yes,Yes,Yes,Yes,None,Yes,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/29/2009,NULL,Aug-59,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538036,NULL,No,,,
538037,Aug-66,Select Your Gifts,Shopping spree certificate to SelectYourGifts.com. Certificates are available in $500 and $1000 increments. End user only pays the shipping and handling on the items.,0,,,999,0,SYG.JPG,^938^,"<p style=text-align: center""><span style=""font-size: large""><span style=""font-family: Times New Roman"">Shopping spree certificate to SelectYourGifts.com</span></span></p>""",SYG.JPG,NULL,No,0,1,375,0,Yes,Yes,Yes,Yes,None,Yes,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/29/2009,NULL,Aug-66,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538037,NULL,No,,,
538038,Aug-72,Your Dream Vacation,Enjoy an Eight day and seven night condominium vacation.,0,,,999,0,DreamVacation.JPG,^937^,"<p style=text-align: center""><span style=""font-size: large""><span style=""font-family: Times New Roman"">Enjoy an Eight day and seven night condominium vacation.</span></span></p>""",DreamVacation.JPG,NULL,No,0,1,103,0,Yes,Yes,Yes,Yes,None,Yes,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/29/2009,NULL,Aug-72,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538038,NULL,No,,,
538039,08-121,Turkey or Ham On Us,Turkey or ham redemption process. Perfect incentive for the holidays. End user can receive a turkey or ham valued at up to $10!,0,,,999,0,Turkey.JPG,^936^,"<p style=text-align: center""><span style=""font-size: large""><span style=""font-family: Times New Roman"">Turkey or ham redemption process. </span></span></p>""",Turkey.JPG,NULL,No,0,1,78,0,Yes,Yes,Yes,Yes,None,Yes,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/29/2009,NULL,08-121,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538039,NULL,No,,,
538040,08-151,Fly Free America,2 complimentary round trip flight tickets.,0,,,999,0,FlyFreeAmer.JPG,^937^,"<p style=text-align: center""><span style=""font-size: large""><span style=""font-family: Times New Roman"">2 complimentary round trip flight tickets.</span></span></p>""",FlyFreeAmer.JPG,NULL,No,0,1,94,0,Yes,Yes,Yes,Yes,None,Yes,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/29/2009,NULL,08-151,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538040,NULL,No,,,
